EDGAR Country Code;Country;Agriculture;Buildings;Fuel Exploitation;Industrial Combustion;Power Industry;Processes;Transport;Waste;Cluster
CMR;Cameroon;0,2962582139878911;0,0744326226707019;0,2765393132145728;0,0083063777920304;0,0507030823635412;0,1020110923544691;0,0917012144193424;0,1000480831974507;1
COD;Democratic Republic of the Congo;0,1616747842837522;0,1528153607216561;0,3201323695399747;0,0043036241120491;0,0003936343165596;0,0649359889631769;0,0700093629346687;0,2257348751281624;2
COG;Congo;0,0426126235139882;0,0238443088208348;0,7416226989009128;0,0044239739569652;0,0665191731880911;0,0246074547436171;0,0667845394825577;0,0295852273930327;4
COK;Cook Islands;0,0551218502036265;0,1154972612584402;1,742974721637878e-06;0,1090254379614222;0,2184179024395934;0,0113463661454629;0,4470976105562386;0,0434918284604943;7
COL;Colombia;0,3434025514389498;0,054071727934733;0,1325451395255949;0,0744679156374842;0,0744623411202222;0,0590757904911466;0,1546378020123952;0,1073367318394737;1
COM;Comoros;0,1458088848176;0,1037270802532519;0,2007653412847862;0,0443290991772584;0,0771374722700924;0,0159508991749799;0,208723895308186;0,2035573277138447;2
CPV;Cabo Verde;0,1097242619375905;0,1031209579470305;0,0027954707498208;0,0958508190972932;0,1728462210653803;0,0129124923159711;0,4366891784014412;0,066060598485472;7
CRI;Costa Rica;0,3150931013378193;0,0353808826148398;0,0014743720610872;0,0748783618227725;0,0166389218089;0,0637831895550802;0,3621810006928563;0,1305701701066446;2
CUB;Cuba;0,2402113299973298;0,0768751409303127;0,0301284477526457;0,1485375813425462;0,315872919282642;0,0414395834449161;0,0327628064631754;0,1141721907864319;5
CYM;Cayman Islands;0,0165697071189631;0,0736413701537462;0,0002128702495702;0,0516897568032779;0,4581219778670367;0,0163636836581015;0,3255802259919566;0,0578204081573475;0
CYP;Cyprus;0,0615983295875566;0,0622556524722924;0,0007699689322512;0,0664722133824687;0,3647846282193914;0,1448436833392565;0,2238392629968178;0,0754362610699651;0
CZE;Czechia;0,0644065457247135;0,1008324558546918;0,0710624556240409;0,0923524875189738;0,411437757435998;0,0789572514458152;0,1410401368988635;0,0399109094969029;0
DEU;Germany;0,0734475922460046;0,1602998887827889;0,051213140702822;0,1111206338520789;0,3358186605271516;0,0721613340174923;0,1805071640501397;0,0154315858215217;7
DJI;Djibouti;0,3170081358523468;0,0587852601369;0,073109636394938;0,0412370750937892;0,0737788580026489;0,0476021878161886;0,1873262512900227;0,2011525954131655;2
DMA;Dominica;0,2532111102184413;0,0463015728216524;0,0145412656924689;0,0296517753678648;0,2582163366201108;0,0246475510163987;0,1827910634339904;0,1906393248290725;2
DNK;Denmark;0,2229488610263723;0,1019481338349154;0,0529137058193283;0,0766070148194203;0,2286287490435236;0,0451860638957528;0,2480201595460068;0,0237473120146801;7
DOM;Dominican Republic;0,2170432049140241;0,0468361220924246;0,0150210782592217;0,0903871992204004;0,2761800625526913;0,0858187305605747;0,1744850117497889;0,094228590650874;0
DZA;Algeria;0,0519197622243112;0,1151336244270899;0,3113938124427152;0,0559211291417574;0,1634723198319502;0,0748811452766077;0,1905702518616213;0,0367079547939468;4
ECU;Ecuador;0,1964667666775106;0,0972934973295377;0,2040766708114726;0,0566174992461156;0,094028801334948;0,0443577294594759;0,2559424820541889;0,0512165530867504;7
EGY;Egypt;0,0901388779890574;0,0589932307030663;0,1291468548005298;0,1003938412872764;0,2367473742202502;0,1519240957686865;0,1637808165044058;0,0688749087267273;5
ERI;Eritrea;0,6755619758964881;0,0429305733229058;0,0760218699858505;0,003581634952002;0,045724129582036;0,0182670406856798;0,0350009551671386;0,1029118204078988;1
ESH;Western Sahara;0,3407417815545431;0,0516234482339041;0,0;0,0668933668842071;0,0675954526968693;0,0060763542122384;0,1970694666479737;0,2700001297702639;2
ESP;Spain and Andorra;0,1288455179204697;0,1001628519547717;0,0662393122106691;0,0987671609855466;0,1907064714458968;0,097198066303001;0,2719288684292866;0,0461517507503582;5
